Pango lineage,,,,,,,,,,,,,,,,,,,
taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note,pango_lineage_unaliased,sample,method,depth
Consensus_UT-UPHL-240124124876_seqkit_50_threshold_0.6_quality_20,HV.1,0,,Omicron (XBB.1-like),0.83,0.01,scorpio call: Alt alleles 70; Ref alleles 1; Amb alleles 10; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.14,Usher placements: HV.1(1/1),XBB.1.9.2.5.1.6.1,UT-UPHL-240124124876,seqkit,50
Consensus_UT-UPHL-240124217603_bbnorm_10000_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.89,0.03,scorpio call: Alt alleles 55; Ref alleles 2; Amb alleles 2; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.03,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,bbnorm,10000
Consensus_UT-UPHL-240124217603_bbnorm_1000_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,bbnorm,1000
Consensus_UT-UPHL-240124217603_bbnorm_100_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,bbnorm,100
Consensus_UT-UPHL-240124217603_bbnorm_10_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.85,0.03,scorpio call: Alt alleles 53; Ref alleles 2; Amb alleles 5; Oth alleles 2,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.14,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124217603,bbnorm,10
Consensus_UT-UPHL-240124217603_bbnorm_200_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,bbnorm,200
Consensus_UT-UPHL-240124217603_bbnorm_300_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,bbnorm,300
Consensus_UT-UPHL-240124217603_bbnorm_30_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,bbnorm,30
Consensus_UT-UPHL-240124217603_bbnorm_400_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,bbnorm,400
Consensus_UT-UPHL-240124217603_bbnorm_5000_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,bbnorm,5000
Consensus_UT-UPHL-240124217603_bbnorm_500_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,bbnorm,500
Consensus_UT-UPHL-240124217603_bbnorm_50_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,bbnorm,50
Consensus_UT-UPHL-240124217603_raw_all_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.85,0.03,scorpio call: Alt alleles 53; Ref alleles 2; Amb alleles 0; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.09,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,raw,all
Consensus_UT-UPHL-240124217603_seqkit_10000_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.85,0.03,scorpio call: Alt alleles 53; Ref alleles 2; Amb alleles 0; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.09,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,seqkit,10000
Consensus_UT-UPHL-240124217603_seqkit_1000_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.84,0.03,scorpio call: Alt alleles 52; Ref alleles 2; Amb alleles 1; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.08,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,seqkit,1000
Consensus_UT-UPHL-240124217603_seqkit_100_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.77,0.03,scorpio call: Alt alleles 48; Ref alleles 2; Amb alleles 9; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.2,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,seqkit,100
Consensus_UT-UPHL-240124217603_seqkit_10_threshold_0.6_quality_20,Unassigned,,,Probable Omicron (Unassigned),0.41,0,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 19; Oth alleles 0,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.64,,Unassigned,UT-UPHL-240124217603,seqkit,10
Consensus_UT-UPHL-240124217603_seqkit_200_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.82,0.03,scorpio call: Alt alleles 51; Ref alleles 2; Amb alleles 6; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.16,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,seqkit,200
Consensus_UT-UPHL-240124217603_seqkit_300_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.85,0.03,scorpio call: Alt alleles 53; Ref alleles 2; Amb alleles 4; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.13,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,seqkit,300
Consensus_UT-UPHL-240124217603_seqkit_30_threshold_0.6_quality_20,Unassigned,,,Omicron (Unassigned),0.75,0,scorpio call: Alt alleles 24; Ref alleles 0; Amb alleles 6; Oth alleles 2,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.33,,Unassigned,UT-UPHL-240124217603,seqkit,30
Consensus_UT-UPHL-240124217603_seqkit_400_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.82,0.03,scorpio call: Alt alleles 51; Ref alleles 2; Amb alleles 4; Oth alleles 5,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.12,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,seqkit,400
Consensus_UT-UPHL-240124217603_seqkit_5000_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.85,0.03,scorpio call: Alt alleles 53; Ref alleles 2; Amb alleles 0; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.09,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,seqkit,5000
Consensus_UT-UPHL-240124217603_seqkit_500_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (BA.2-like),0.84,0.03,scorpio call: Alt alleles 52; Ref alleles 2; Amb alleles 1; Oth alleles 7,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.08,Usher placements: JN.1.4.5(1/1),B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,seqkit,500
Consensus_UT-UPHL-240124217603_seqkit_50_threshold_0.6_quality_20,JN.1.4.5,0,,Omicron (Unassigned),0.75,0,scorpio call: Alt alleles 24; Ref alleles 0; Amb alleles 5; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.27,Usher placements: JN.1.4.5(1/1); scorpio found insufficient support to assign a specific lineage,B.1.1.529.2.86.1.1.4.5,UT-UPHL-240124217603,seqkit,50
Consensus_UT-UPHL-240124288971_bbnorm_10000_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.04,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,bbnorm,10000
Consensus_UT-UPHL-240124288971_bbnorm_1000_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.03,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,bbnorm,1000
Consensus_UT-UPHL-240124288971_bbnorm_100_threshold_0.6_quality_20,Unassigned,,,Probable Omicron (Unassigned),0.59,0,scorpio call: Alt alleles 19; Ref alleles 0; Amb alleles 11; Oth alleles 2,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.31,,Unassigned,UT-UPHL-240124288971,bbnorm,100
Consensus_UT-UPHL-240124288971_bbnorm_10_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.88,,Unassigned,UT-UPHL-240124288971,bbnorm,10
Consensus_UT-UPHL-240124288971_bbnorm_200_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.82,0.03,scorpio call: Alt alleles 51; Ref alleles 2; Amb alleles 5; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.17,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,bbnorm,200
Consensus_UT-UPHL-240124288971_bbnorm_300_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.87,0.03,scorpio call: Alt alleles 54; Ref alleles 2; Amb alleles 3; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.07,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,bbnorm,300
Consensus_UT-UPHL-240124288971_bbnorm_30_threshold_0.6_quality_20,Unassigned,,,Probable Omicron (Unassigned),0.44,0,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 15; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.53,,Unassigned,UT-UPHL-240124288971,bbnorm,30
Consensus_UT-UPHL-240124288971_bbnorm_400_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.04,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,bbnorm,400
Consensus_UT-UPHL-240124288971_bbnorm_5000_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,bbnorm,5000
Consensus_UT-UPHL-240124288971_bbnorm_500_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.03,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,bbnorm,500
Consensus_UT-UPHL-240124288971_bbnorm_50_threshold_0.6_quality_20,Unassigned,,,Probable Omicron (Unassigned),0.59,0,scorpio call: Alt alleles 19; Ref alleles 0; Amb alleles 10; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.41,,Unassigned,UT-UPHL-240124288971,bbnorm,50
Consensus_UT-UPHL-240124288971_raw_all_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.84,0.03,scorpio call: Alt alleles 52; Ref alleles 2; Amb alleles 3; Oth alleles 5,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.09,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,raw,all
Consensus_UT-UPHL-240124288971_seqkit_10000_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.84,0.03,scorpio call: Alt alleles 52; Ref alleles 2; Amb alleles 4; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.08,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,seqkit,10000
Consensus_UT-UPHL-240124288971_seqkit_1000_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.84,0.03,scorpio call: Alt alleles 52; Ref alleles 2; Amb alleles 4; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.08,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,seqkit,1000
Consensus_UT-UPHL-240124288971_seqkit_100_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.84,0.03,scorpio call: Alt alleles 52; Ref alleles 2; Amb alleles 5; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.13,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,seqkit,100
Consensus_UT-UPHL-240124288971_seqkit_10_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.66,,Unassigned,UT-UPHL-240124288971,seqkit,10
Consensus_UT-UPHL-240124288971_seqkit_200_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.84,0.03,scorpio call: Alt alleles 52; Ref alleles 2; Amb alleles 5; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.1,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,seqkit,200
Consensus_UT-UPHL-240124288971_seqkit_300_threshold_0.6_quality_20,JN.1.4,0,,Omicron (BA.2-like),0.84,0.03,scorpio call: Alt alleles 52; Ref alleles 2; Amb alleles 2; Oth alleles 6,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.09,Usher placements: JN.1.4(1/1),B.1.1.529.2.86.1.1.4,UT-UPHL-240124288971,seqkit,300
