#rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq,sample,method,depth
MN908947.3,1,29903,205744,29885,99.9398,903.006,35.5,42.9,UT-UPHL-240124288971,bbnorm,400
MN908947.3,1,29903,163768,29884,99.9365,714.082,35.4,42.8,UT-UPHL-240124288971,bbnorm,300
MN908947.3,1,29903,119188,29884,99.9365,517.376,35.2,42.7,UT-UPHL-240124288971,bbnorm,200
MN908947.3,1,29903,64769,29858,99.8495,279.194,35.1,42.5,UT-UPHL-240124288971,bbnorm,100
MN908947.3,1,29903,29092,29850,99.8228,125.224,35.1,42.5,UT-UPHL-240124288971,bbnorm,50
MN908947.3,1,29903,14127,29799,99.6522,61.4222,35.3,42.7,UT-UPHL-240124288971,bbnorm,30
MN908947.3,1,29903,3671,29781,99.592,16.1369,35.5,42.8,UT-UPHL-240124288971,bbnorm,10
MN908947.3,1,29903,1877130,29879,99.9197,8553.07,36,43.8,UT-UPHL-240124288971,seqkit,10000
MN908947.3,1,29903,941169,29876,99.9097,4282.04,36,43.8,UT-UPHL-240124288971,seqkit,5000
MN908947.3,1,29903,187965,29827,99.7458,855.111,36,43.8,UT-UPHL-240124288971,seqkit,1000
MN908947.3,1,29903,93090,29817,99.7124,423.827,36,43.8,UT-UPHL-240124288971,seqkit,500
MN908947.3,1,29903,55829,29513,98.6958,253.987,36,43.8,UT-UPHL-240124288971,seqkit,400
MN908947.3,1,29903,37149,29392,98.2911,168.847,36,43.8,UT-UPHL-240124288971,seqkit,300
MN908947.3,1,29903,27901,29135,97.4317,126.905,36,43.8,UT-UPHL-240124288971,seqkit,200
MN908947.3,1,29903,18671,28889,96.609,84.9561,36,43.8,UT-UPHL-240124288971,seqkit,100
MN908947.3,1,29903,9363,28474,95.2212,42.5422,36,43.8,UT-UPHL-240124288971,seqkit,50
MN908947.3,1,29903,5600,27896,93.2883,25.4434,36,43.8,UT-UPHL-240124288971,seqkit,30
MN908947.3,1,29903,1856,25701,85.9479,8.37582,36,43.8,UT-UPHL-240124288971,seqkit,10
MN908947.3,1,29903,60774146,29903,100,275208,36.3,43.8,UT-UPHL-240124304140,all,all
MN908947.3,1,29903,6166812,29876,99.9097,27685.6,36.3,43.8,UT-UPHL-240124304140,bbnorm,10000
MN908947.3,1,29903,2167245,29886,99.9431,9674.8,36.2,43.7,UT-UPHL-240124304140,bbnorm,5000
MN908947.3,1,29903,444518,29853,99.8328,1945.22,35.9,43.2,UT-UPHL-240124304140,bbnorm,1000
MN908947.3,1,29903,242621,29837,99.7793,1053.5,35.6,43,UT-UPHL-240124304140,bbnorm,500
MN908947.3,1,29903,200269,29837,99.7793,870.332,35.5,42.9,UT-UPHL-240124304140,bbnorm,400
MN908947.3,1,29903,159861,29837,99.7793,690.324,35.3,42.7,UT-UPHL-240124304140,bbnorm,300
MN908947.3,1,29903,116539,29836,99.7759,500.359,35.1,42.5,UT-UPHL-240124304140,bbnorm,200
MN908947.3,1,29903,67827,29835,99.7726,287.766,34.7,42.2,UT-UPHL-240124304140,bbnorm,100
MN908947.3,1,29903,33918,29825,99.7392,143.566,34.6,42.1,UT-UPHL-240124304140,bbnorm,50
MN908947.3,1,29903,16572,29820,99.7224,70.9364,34.8,42.3,UT-UPHL-240124304140,bbnorm,30
MN908947.3,1,29903,3501,29721,99.3914,15.4792,35.4,42.9,UT-UPHL-240124304140,bbnorm,10
MN908947.3,1,29903,1882213,29878,99.9164,8488.57,36.3,43.8,UT-UPHL-240124304140,seqkit,10000
MN908947.3,1,29903,943372,29878,99.9164,4250.32,36.3,43.8,UT-UPHL-240124304140,seqkit,5000
MN908947.3,1,29903,186808,29841,99.7927,846.276,36.3,43.8,UT-UPHL-240124304140,seqkit,1000
MN908947.3,1,29903,92796,29831,99.7592,420.601,36.3,43.8,UT-UPHL-240124304140,seqkit,500
MN908947.3,1,29903,55532,29751,99.4917,251.651,36.3,43.8,UT-UPHL-240124304140,seqkit,400
MN908947.3,1,29903,37181,29748,99.4817,168.484,36.3,43.8,UT-UPHL-240124304140,seqkit,300
MN908947.3,1,29903,27714,29744,99.4683,125.721,36.3,43.8,UT-UPHL-240124304140,seqkit,200
MN908947.3,1,29903,18552,29742,99.4616,84.153,36.3,43.8,UT-UPHL-240124304140,seqkit,100
MN908947.3,1,29903,9346,29725,99.4047,42.4091,36.3,43.7,UT-UPHL-240124304140,seqkit,50
MN908947.3,1,29903,5524,29553,98.8295,25.1302,36.3,43.8,UT-UPHL-240124304140,seqkit,30
MN908947.3,1,29903,1818,28330,94.7397,8.30375,36.3,43.8,UT-UPHL-240124304140,seqkit,10
MN908947.3,1,29903,49059944,29903,100,220176,36.3,43.8,UT-UPHL-240124309144,all,all
MN908947.3,1,29903,5533367,29886,99.9431,24983.9,36.3,43.8,UT-UPHL-240124309144,bbnorm,10000
MN908947.3,1,29903,2050530,29864,99.8696,9231.22,36.2,43.7,UT-UPHL-240124309144,bbnorm,5000
MN908947.3,1,29903,425929,29859,99.8529,1887.46,36,43.4,UT-UPHL-240124309144,bbnorm,1000
MN908947.3,1,29903,228727,29830,99.7559,1007.22,35.7,43.2,UT-UPHL-240124309144,bbnorm,500
MN908947.3,1,29903,189780,29828,99.7492,831.351,35.6,43.1,UT-UPHL-240124309144,bbnorm,400
MN908947.3,1,29903,149417,29828,99.7492,651.708,35.5,42.9,UT-UPHL-240124309144,bbnorm,300
MN908947.3,1,29903,107640,29827,99.7458,464.174,35.3,42.7,UT-UPHL-240124309144,bbnorm,200
MN908947.3,1,29903,59813,29812,99.6957,255.24,34.9,42.4,UT-UPHL-240124309144,bbnorm,100
MN908947.3,1,29903,30326,29812,99.6957,128.649,34.8,42.2,UT-UPHL-240124309144,bbnorm,50
MN908947.3,1,29903,15943,29746,99.475,68.523,34.9,42.4,UT-UPHL-240124309144,bbnorm,30
MN908947.3,1,29903,3768,29722,99.3947,16.5908,35.5,42.9,UT-UPHL-240124309144,bbnorm,10
MN908947.3,1,29903,1891569,29874,99.903,8552.53,36.3,43.8,UT-UPHL-240124309144,seqkit,10000
MN908947.3,1,29903,947196,29844,99.8027,4279.24,36.3,43.7,UT-UPHL-240124309144,seqkit,5000
MN908947.3,1,29903,189164,29748,99.4817,855.079,36.3,43.7,UT-UPHL-240124309144,seqkit,1000
MN908947.3,1,29903,94482,29532,98.7593,427.152,36.3,43.7,UT-UPHL-240124309144,seqkit,500
MN908947.3,1,29903,56438,28743,96.1208,255.052,36.3,43.7,UT-UPHL-240124309144,seqkit,400
MN908947.3,1,29903,37753,28639,95.773,170.601,36.3,43.7,UT-UPHL-240124309144,seqkit,300
MN908947.3,1,29903,28197,28202,94.3116,127.587,36.3,43.7,UT-UPHL-240124309144,seqkit,200
MN908947.3,1,29903,18827,27953,93.4789,85.1941,36.3,43.7,UT-UPHL-240124309144,seqkit,100
MN908947.3,1,29903,9517,27066,90.5127,43.0646,36.3,43.7,UT-UPHL-240124309144,seqkit,50
MN908947.3,1,29903,5691,25975,86.8642,25.7471,36.3,43.7,UT-UPHL-240124309144,seqkit,30
MN908947.3,1,29903,1883,23112,77.2899,8.55523,36.3,43.8,UT-UPHL-240124309144,seqkit,10
MN908947.3,1,29903,47060600,29903,100,217664,36.3,43.9,UT-UPHL-240124380152,all,all
MN908947.3,1,29903,5258556,29882,99.9298,24429.7,36.3,43.9,UT-UPHL-240124380152,bbnorm,10000
MN908947.3,1,29903,1972845,29876,99.9097,9137.9,36.2,43.8,UT-UPHL-240124380152,bbnorm,5000
MN908947.3,1,29903,402797,29844,99.8027,1835.48,35.9,43.5,UT-UPHL-240124380152,bbnorm,1000
MN908947.3,1,29903,215059,29836,99.7759,970.623,35.7,43.2,UT-UPHL-240124380152,bbnorm,500
MN908947.3,1,29903,176769,29844,99.8027,796.477,35.6,43.1,UT-UPHL-240124380152,bbnorm,400
MN908947.3,1,29903,137995,29836,99.7759,618.573,35.5,43,UT-UPHL-240124380152,bbnorm,300
MN908947.3,1,29903,99931,29827,99.7458,442.455,35.3,42.8,UT-UPHL-240124380152,bbnorm,200
MN908947.3,1,29903,56787,29812,99.6957,247.039,34.9,42.4,UT-UPHL-240124380152,bbnorm,100
MN908947.3,1,29903,28239,29822,99.7291,122.263,34.8,42.3,UT-UPHL-240124380152,bbnorm,50
MN908947.3,1,29903,14863,29812,99.6957,65.4842,35,42.5,UT-UPHL-240124380152,bbnorm,30
MN908947.3,1,29903,3459,29710,99.3546,15.6463,35.5,43.1,UT-UPHL-240124380152,bbnorm,10
MN908947.3,1,29903,1845779,29884,99.9365,8552.26,36.3,43.9,UT-UPHL-240124380152,seqkit,10000
MN908947.3,1,29903,925429,29848,99.8161,4282.35,36.3,43.9,UT-UPHL-240124380152,seqkit,5000
MN908947.3,1,29903,184981,29842,99.796,856.012,36.3,43.9,UT-UPHL-240124380152,seqkit,1000
MN908947.3,1,29903,92204,29655,99.1707,427.299,36.3,43.9,UT-UPHL-240124380152,seqkit,500
MN908947.3,1,29903,55062,29632,99.0937,254.914,36.3,43.9,UT-UPHL-240124380152,seqkit,400
MN908947.3,1,29903,36779,29458,98.5119,170.013,36.3,43.9,UT-UPHL-240124380152,seqkit,300
MN908947.3,1,29903,27503,29065,97.1976,127.065,36.3,43.8,UT-UPHL-240124380152,seqkit,200
MN908947.3,1,29903,18241,28682,95.9168,84.206,36.3,43.8,UT-UPHL-240124380152,seqkit,100
MN908947.3,1,29903,9178,27856,93.1545,42.3176,36.3,43.8,UT-UPHL-240124380152,seqkit,50
MN908947.3,1,29903,5545,27472,91.8704,25.4722,36.3,43.9,UT-UPHL-240124380152,seqkit,30
MN908947.3,1,29903,1849,25928,86.707,8.49386,36.3,44,UT-UPHL-240124380152,seqkit,10
MN908947.3,1,29903,63975146,29903,100,281577,36.4,43.8,UT-UPHL-240124525108,all,all
MN908947.3,1,29903,6874592,29903,100,31061.6,36.4,43.7,UT-UPHL-240124525108,bbnorm,10000
MN908947.3,1,29903,2385110,29883,99.9331,10720,36.3,43.5,UT-UPHL-240124525108,bbnorm,5000
MN908947.3,1,29903,434254,29850,99.8228,1915.38,36,43.1,UT-UPHL-240124525108,bbnorm,1000
MN908947.3,1,29903,233619,29846,99.8094,1022.73,35.8,42.9,UT-UPHL-240124525108,bbnorm,500
MN908947.3,1,29903,192720,29841,99.7927,840.481,35.7,42.8,UT-UPHL-240124525108,bbnorm,400
MN908947.3,1,29903,151169,29846,99.8094,658.094,35.5,42.7,UT-UPHL-240124525108,bbnorm,300
MN908947.3,1,29903,109851,29841,99.7927,473.188,35.3,42.4,UT-UPHL-240124525108,bbnorm,200
MN908947.3,1,29903,62328,29832,99.7626,264.322,34.9,42.2,UT-UPHL-240124525108,bbnorm,100
MN908947.3,1,29903,30768,29770,99.5552,130.409,34.8,42.1,UT-UPHL-240124525108,bbnorm,50
MN908947.3,1,29903,16191,29756,99.5084,68.7353,34.9,42.2,UT-UPHL-240124525108,bbnorm,30
MN908947.3,1,29903,3616,29730,99.4215,15.7874,35.6,42.6,UT-UPHL-240124525108,bbnorm,10
MN908947.3,1,29903,1878227,29900,99.99,8504.35,36.4,43.8,UT-UPHL-240124525108,seqkit,10000
MN908947.3,1,29903,940522,29880,99.9231,4255.6,36.4,43.8,UT-UPHL-240124525108,seqkit,5000
MN908947.3,1,29903,187181,29823,99.7325,848.974,36.4,43.8,UT-UPHL-240124525108,seqkit,1000
MN908947.3,1,29903,92761,29766,99.5419,420.925,36.4,43.8,UT-UPHL-240124525108,seqkit,500
MN908947.3,1,29903,55524,29712,99.3613,251.891,36.4,43.8,UT-UPHL-240124525108,seqkit,400
MN908947.3,1,29903,37034,29221,97.7193,167.934,36.4,43.8,UT-UPHL-240124525108,seqkit,300
MN908947.3,1,29903,27807,28923,96.7227,126.149,36.4,43.8,UT-UPHL-240124525108,seqkit,200
MN908947.3,1,29903,18622,28572,95.5489,84.3093,36.4,43.8,UT-UPHL-240124525108,seqkit,100
MN908947.3,1,29903,9290,28089,93.9337,41.9673,36.4,43.8,UT-UPHL-240124525108,seqkit,50
MN908947.3,1,29903,5571,27517,92.0209,25.171,36.4,43.8,UT-UPHL-240124525108,seqkit,30
MN908947.3,1,29903,1842,24278,81.1892,8.29479,36.3,43.8,UT-UPHL-240124525108,seqkit,10
MN908947.3,1,29903,54690739,29903,100,245645,35.9,43.7,UT-UPHL-240124547518,all,all
MN908947.3,1,29903,5905929,29898,99.9833,26391.5,35.9,43.7,UT-UPHL-240124547518,bbnorm,10000
MN908947.3,1,29903,2126528,29874,99.903,9429.21,35.8,43.6,UT-UPHL-240124547518,bbnorm,5000
MN908947.3,1,29903,479389,29847,99.8127,2051.03,35.5,43,UT-UPHL-240124547518,bbnorm,1000
MN908947.3,1,29903,271631,29844,99.8027,1148.26,35.3,42.7,UT-UPHL-240124547518,bbnorm,500
MN908947.3,1,29903,228494,29843,99.7994,963.291,35.2,42.7,UT-UPHL-240124547518,bbnorm,400
MN908947.3,1,29903,181437,29843,99.7994,764.588,35.1,42.6,UT-UPHL-240124547518,bbnorm,300
MN908947.3,1,29903,135060,29842,99.796,562.246,34.9,42.4,UT-UPHL-240124547518,bbnorm,200
MN908947.3,1,29903,76319,29842,99.796,314.364,34.7,42.2,UT-UPHL-240124547518,bbnorm,100
MN908947.3,1,29903,34946,29832,99.7626,144.204,34.8,42.2,UT-UPHL-240124547518,bbnorm,50
MN908947.3,1,29903,16906,29830,99.7559,70.7221,35,42.5,UT-UPHL-240124547518,bbnorm,30
MN908947.3,1,29903,3827,29713,99.3646,16.4498,35.3,42.8,UT-UPHL-240124547518,bbnorm,10
MN908947.3,1,29903,1864818,29868,99.883,8349.4,35.9,43.7,UT-UPHL-240124547518,seqkit,10000
MN908947.3,1,29903,935890,29866,99.8763,4181.91,35.9,43.6,UT-UPHL-240124547518,seqkit,5000
MN908947.3,1,29903,187502,29753,99.4984,837.029,35.9,43.6,UT-UPHL-240124547518,seqkit,1000
MN908947.3,1,29903,93323,29679,99.2509,416.859,35.9,43.6,UT-UPHL-240124547518,seqkit,500
MN908947.3,1,29903,55814,29425,98.4015,249.348,35.9,43.7,UT-UPHL-240124547518,seqkit,400
MN908947.3,1,29903,37164,28826,96.3984,165.923,35.9,43.7,UT-UPHL-240124547518,seqkit,300
MN908947.3,1,29903,27729,28390,94.9403,123.908,35.9,43.7,UT-UPHL-240124547518,seqkit,200
MN908947.3,1,29903,18578,28256,94.4922,83.0493,35.9,43.7,UT-UPHL-240124547518,seqkit,100
MN908947.3,1,29903,9359,27681,92.5693,41.8169,35.9,43.7,UT-UPHL-240124547518,seqkit,50
MN908947.3,1,29903,5613,26644,89.1014,25.0632,35.9,43.7,UT-UPHL-240124547518,seqkit,30
MN908947.3,1,29903,1871,24000,80.2595,8.35077,35.9,43.8,UT-UPHL-240124547518,seqkit,10
MN908947.3,1,29903,54724899,29903,100,249281,36,43.9,UT-UPHL-240124573433,all,all
MN908947.3,1,29903,5907261,29892,99.9632,27598.8,36,43.9,UT-UPHL-240124573433,bbnorm,10000
MN908947.3,1,29903,2046341,29869,99.8863,9545.29,36,43.8,UT-UPHL-240124573433,bbnorm,5000
MN908947.3,1,29903,393160,29846,99.8094,1809.9,35.8,43.4,UT-UPHL-240124573433,bbnorm,1000
MN908947.3,1,29903,215157,29845,99.806,980.431,35.6,43.2,UT-UPHL-240124573433,bbnorm,500
MN908947.3,1,29903,177191,29874,99.903,804.776,35.5,43.1,UT-UPHL-240124573433,bbnorm,400
MN908947.3,1,29903,140551,29854,99.8361,634.623,35.4,43,UT-UPHL-240124573433,bbnorm,300
MN908947.3,1,29903,102201,29826,99.7425,457.426,35.2,42.8,UT-UPHL-240124573433,bbnorm,200
MN908947.3,1,29903,56277,29813,99.699,249.793,35,42.6,UT-UPHL-240124573433,bbnorm,100
MN908947.3,1,29903,26361,29815,99.7057,116.877,35,42.6,UT-UPHL-240124573433,bbnorm,50
MN908947.3,1,29903,13430,29714,99.368,60.1235,35.2,42.8,UT-UPHL-240124573433,bbnorm,30
MN908947.3,1,29903,3358,29717,99.378,15.3402,35.5,43.1,UT-UPHL-240124573433,bbnorm,10
MN908947.3,1,29903,1880186,29903,100,8757,36,43.9,UT-UPHL-240124573433,seqkit,10000
MN908947.3,1,29903,940832,29884,99.9365,4379.22,36,43.9,UT-UPHL-240124573433,seqkit,5000
MN908947.3,1,29903,187435,29804,99.6689,874.306,36,43.9,UT-UPHL-240124573433,seqkit,1000
MN908947.3,1,29903,93192,29753,99.4984,435.079,36,43.9,UT-UPHL-240124573433,seqkit,500
MN908947.3,1,29903,55880,29552,98.8262,260.436,36,43.9,UT-UPHL-240124573433,seqkit,400
MN908947.3,1,29903,37096,29082,97.2545,173.104,36,43.9,UT-UPHL-240124573433,seqkit,300
MN908947.3,1,29903,27688,29015,97.0304,129.212,36,43.9,UT-UPHL-240124573433,seqkit,200
MN908947.3,1,29903,18496,28738,96.1041,86.5067,36,43.9,UT-UPHL-240124573433,seqkit,100
MN908947.3,1,29903,9315,28101,93.9738,43.6089,36.1,43.9,UT-UPHL-240124573433,seqkit,50
MN908947.3,1,29903,5609,27107,90.6498,26.2599,36.1,43.9,UT-UPHL-240124573433,seqkit,30
MN908947.3,1,29903,1875,24532,82.0386,8.80654,36.1,43.9,UT-UPHL-240124573433,seqkit,10
MN908947.3,1,29903,53446807,29903,100,237476,36.3,43.8,UT-UPHL-240124579148,all,all
MN908947.3,1,29903,5808394,29903,100,26074.6,36.3,43.7,UT-UPHL-240124579148,bbnorm,10000
MN908947.3,1,29903,2038957,29886,99.9431,9102.55,36.2,43.5,UT-UPHL-240124579148,bbnorm,5000
MN908947.3,1,29903,423407,29887,99.9465,1841.93,35.9,43,UT-UPHL-240124579148,bbnorm,1000
MN908947.3,1,29903,241295,29870,99.8896,1023.91,35.6,42.7,UT-UPHL-240124579148,bbnorm,500
MN908947.3,1,29903,200159,29870,99.8896,848.468,35.5,42.6,UT-UPHL-240124579148,bbnorm,400
MN908947.3,1,29903,159863,29870,99.8896,673.585,35.3,42.4,UT-UPHL-240124579148,bbnorm,300
MN908947.3,1,29903,115562,29878,99.9164,487.382,35.1,42.3,UT-UPHL-240124579148,bbnorm,200
MN908947.3,1,29903,65131,29865,99.8729,272.382,34.8,42,UT-UPHL-240124579148,bbnorm,100
MN908947.3,1,29903,32785,29861,99.8595,135.728,34.7,41.9,UT-UPHL-240124579148,bbnorm,50
MN908947.3,1,29903,17358,29849,99.8194,72.9552,34.8,42.1,UT-UPHL-240124579148,bbnorm,30
MN908947.3,1,29903,4094,29817,99.7124,17.3644,35.4,42.2,UT-UPHL-240124579148,bbnorm,10
MN908947.3,1,29903,1736510,29877,99.9131,7763.16,36.3,43.8,UT-UPHL-240124579148,seqkit,10000
MN908947.3,1,29903,873201,29870,99.8896,3894.57,36.3,43.8,UT-UPHL-240124579148,seqkit,5000
MN908947.3,1,29903,174273,28925,96.7294,777.961,36.3,43.8,UT-UPHL-240124579148,seqkit,1000
MN908947.3,1,29903,86521,28434,95.0874,385.946,36.3,43.8,UT-UPHL-240124579148,seqkit,500
MN908947.3,1,29903,51734,28001,93.6394,230.849,36.3,43.8,UT-UPHL-240124579148,seqkit,400
MN908947.3,1,29903,34414,27357,91.4858,153.64,36.3,43.8,UT-UPHL-240124579148,seqkit,300
MN908947.3,1,29903,25624,26976,90.2117,114.482,36.3,43.8,UT-UPHL-240124579148,seqkit,200
MN908947.3,1,29903,17274,26068,87.1752,77.0325,36.3,43.8,UT-UPHL-240124579148,seqkit,100
MN908947.3,1,29903,8663,24468,81.8246,38.6089,36.3,43.8,UT-UPHL-240124579148,seqkit,50
MN908947.3,1,29903,5157,23591,78.8917,22.9424,36.3,43.8,UT-UPHL-240124579148,seqkit,30
MN908947.3,1,29903,1682,21365,71.4477,7.51078,36.3,43.8,UT-UPHL-240124579148,seqkit,10
MN908947.3,1,29903,52861876,29903,100,231015,36.2,43.7,UT-UPHL-240124582725,all,all
MN908947.3,1,29903,5742706,29903,100,24799.6,36.2,43.6,UT-UPHL-240124582725,bbnorm,10000
MN908947.3,1,29903,2273170,29903,100,9649.04,36.1,43.4,UT-UPHL-240124582725,bbnorm,5000
MN908947.3,1,29903,497678,29852,99.8294,2030.9,35.9,42.9,UT-UPHL-240124582725,bbnorm,1000
MN908947.3,1,29903,270467,29845,99.806,1085.95,35.6,42.6,UT-UPHL-240124582725,bbnorm,500
MN908947.3,1,29903,221149,29882,99.9298,888.411,35.5,42.5,UT-UPHL-240124582725,bbnorm,400
MN908947.3,1,29903,174122,29834,99.7693,694.426,35.4,42.4,UT-UPHL-240124582725,bbnorm,300
MN908947.3,1,29903,126634,29884,99.9365,499.043,35.2,42.2,UT-UPHL-240124582725,bbnorm,200
MN908947.3,1,29903,71524,29882,99.9298,279.654,34.8,41.9,UT-UPHL-240124582725,bbnorm,100
MN908947.3,1,29903,36070,29816,99.7091,138.895,34.7,41.7,UT-UPHL-240124582725,bbnorm,50
MN908947.3,1,29903,18585,29805,99.6723,71.5802,34.9,41.7,UT-UPHL-240124582725,bbnorm,30
MN908947.3,1,29903,3932,29789,99.6188,15.8554,35.5,42.3,UT-UPHL-240124582725,bbnorm,10
MN908947.3,1,29903,1831835,29847,99.8127,7828.14,36.2,43.6,UT-UPHL-240124582725,seqkit,10000
MN908947.3,1,29903,920553,29847,99.8127,3921.89,36.2,43.6,UT-UPHL-240124582725,seqkit,5000
MN908947.3,1,29903,182151,29836,99.7759,779.855,36.2,43.7,UT-UPHL-240124582725,seqkit,1000
MN908947.3,1,29903,90052,29798,99.6489,386.937,36.2,43.7,UT-UPHL-240124582725,seqkit,500
MN908947.3,1,29903,54209,29792,99.6288,232.118,36.2,43.7,UT-UPHL-240124582725,seqkit,400
MN908947.3,1,29903,35891,29788,99.6154,154.272,36.2,43.7,UT-UPHL-240124582725,seqkit,300
MN908947.3,1,29903,26873,29738,99.4482,115.207,36.2,43.6,UT-UPHL-240124582725,seqkit,200
MN908947.3,1,29903,17921,29705,99.3379,77.076,36.2,43.7,UT-UPHL-240124582725,seqkit,100
